区域,面积（km2）,密度(人/km2),户籍户数（万户）,户籍人口数（万人）,2015年人均GDP/元,2016年GDP（亿）,2015年常驻人口/万,2017年常驻人口/万
万州区,3453,466,69.77,174.14,51525,897.39,160.74,160.74
黔江区,2390,193,20.58,55.45,43842,218.84,46.2,46.2
涪陵区,2941,388,45.71,115.83,71282,896.22,114.08,114.08
渝中区,23,28239,20.47,50.77,147524,1050.21,64.95,64.95
大渡口区,103,3230,11.69,26.31,48007,176.66,33.27,33.27
江北区,221,3845,25.94,61.41,80879,778.01,84.98,84.98
沙坪坝区,396,2849,32.09,83.17,63308,785.97,112.83,112.83
九龙坡区,431,2754,38.87,93.05,84554,1089.67,118.69,118.69
南岸区,262,3275,28.54,71.32,79173,745.5,85.81,85.81
北碚区,751,1047,25.92,63.02,54737,475.41,78.62,78.62
渝北区,1457,1064,54.49,130.47,76945,1293.35,155.09,155.09
巴南区,1823,552,38.21,91.88,56506,635.35,100.58,100.58
长寿区,1421,580,37.4,89.49,52180,454.02,82.43,82.43
江津区,3216,414,62.29,149.66,45468,674.12,133.19,133.19
合川区,2343,581,59.25,153.27,34999,532.19,136.06,136.06
永川区,1579,694,40.5,113.97,52034,636.18,109.61,109.61
南川区,2589,218,25.97,68.63,33005,210.78,56.43,56.43
綦江区,2747,393,46.75,120.06,35056,420.14,107.84,107.84
大足县,1434,533,32.59,106.79,45709,386.59,76.39,76.39
璧山区,915,793,25.43,64.5,52642,428.35,72.52,72.52
铜梁区,1341,512,32.92,84.97,44849,341.57,68.72,68.72
潼南区,1585,430,,,38869,,68.23,68.23
荣昌区,1077,651,,,47057,368.12,70.1,70.1
梁平县,1888,352,,,36443,271.02,66.4,66.4
城口县,3289,57,8.84,25.11,22834,45.12,18.63,18.63
丰都县,2899,205,27.54,82.37,25217,170.56,59.56,59.56
垫江县,1517,446,33.69,97.14,35443,263.31,67.67,67.67
武隆县,2892,120,,,37900,145.61,34.67,34.67
忠县,2187,324,34.7,99.73,31412,240.7,70.8,70.8
开县,3964,295,,,27845,360.62,117.07,117.07
云阳县,3636,247,44.36,134.15,20958,213.11,89.66,89.66
奉节县,4098,184,35.48,105.93,26209,222.57,75.33,75.33
巫山县,2955,156,23.39,63.69,19394,101.79,46.23,46.23
巫溪县,4015,97,19.75,54.26,18772,82.37,39.1,39.1
石柱县,3014,128,19.53,54.78,33439,145.42,38.65,38.65
秀山县,2453,200,21.32,66.58,28127,150.62,49.13,49.13
酉阳县,5168,108,26.96,85.26,21019,129.48,55.65,55.65
彭水县,3897,130,22.59,70.02,22901,128.69,50.64,50.64
重庆市,82370,366,,,52112,,3016.55,3016.55
,,,,,,,,
年份,常驻人口（万人）,密度（人/km2）,总户数,户籍总人口,,,,
1996,,,,,,,,
1997,,,,,,,,
1998,,,907.17,3059.69,,,,
1999,,,922.73,3072.34,,,,
2000,,,938.87,3091.09,,,,
2001,,,950.56,3097.91,,,,
2002,2814.83,341.7299988,961.69,3113.83,,,,
2003,2803.19,340.3168629,977.01,3130.1,,,,
2004,2793.32,339.1186111,988.59,3144.23,,,,
2005,2798,339.6867792,1010.41,3169.16,,,,
2006,2808,340.9008134,1030.66,3198.87,,,,
2007,2816,341.8720408,1056.97,3235.32,,,,
2008,2839,344.6643195,1080.15,3257.05,,,,
2009,2859,347.092388,1110.7,3275.61,,,,
2010,2884.62,350.2027437,1154.83,3303.45,,,,
2011,2919,354.3765934,1205.2,3329.81,,,,
2012,2945,357.5330824,1220.64,3343.44,,,,
2013,2970,360.568168,1236.78,3358.42,,,,
2014,2991.4,363.1662013,1248.67,3375.2,,,,
2015,3016.55,366.2194974,1254.54,3371.84,,,,
2016,3048.43,370.0898385,1260.88,,,,,
2017,3075.16,373.334952,1260.93,3389.82,,,,
,,,,,,,,
年份,GDP（亿元）,,,,,,,
2010.1季度,1698.85,,,,,,,
2010.2季度,3634.61,,,,,,,
2010.3季度,5631.67,,,,,,,
2010.4季度,7894.24,,,,,,,
2011.1季度,2061.11,,,,,,,
2011.2季度,4450.37,,,,,,,
2011.3季度,7003.73,,,,,,,
2011.4季度,10011.13,,,,,,,
2012.1季度,2523.87,,,,,,,
2012.2季度,5307.19,,,,,,,
2012.3季度,8158,,,,,,,
2012.4季度,11459,,,,,,,
2013.1季度,2725.9,,,,,,,
2013.2季度,5840.51,,,,,,,
2013.3季度,8637.1,,,,,,,
2013.4季度,12656.69,,,,,,,
2014.1季度,2982.71,,,,,,,
2014.2季度,6440.51,,,,,,,
2014.3季度,9500.83,,,,,,,
2014.4季度,14265.4,,,,,,,
2015.1季度,3117.65,,,,,,,
2015.2季度,7237.9,,,,,,,
2015.3季度,11252.67,,,,,,,
2015.4季度,15719.72,,,,,,,
2016.1季度,3772.73,,,,,,,
2016.2季度,8000.82,,,,,,,
2016.3季度,12505.05,,,,,,,
2016.4季度,17558.76,,,,,,,
2017.1季度,4306.74,,,,,,,
2017.2季度,9143.64,,,,,,,
2017.3季度,14309.18,,,,,,,
2017.4季度,19500.27,,,,,,,
2018.1季度,4664.12,,,,,,,
2018.2季度,9821.09,,,,,,,
2018.3季度,14773.3,,,,,,,
2018.4季度,20363.19,,,,,,,
2019.1季度,5102.3,,,,,,,
